ProductCode,BrandName,Week,Color,Target,Price,RankA,RankB,RankC,RankD,Rating,ReviewCount,Recommend,ReviewCountFromSite,ReviewCorrected_1,ReviewCorrected_2
206144055,Brand_3,2019W19,Stainless Steel,266,184,16,16,16,0,4.66,1152,93,1152,1152,10
206144055,Brand_3,2019W20,Stainless Steel,276,184,13,13,13,0,4.65,1162,93,1162,10,10
206144055,Brand_3,2019W21,Stainless Steel,281,184,13,13,13,0,4.65,1171,93,1171,9,9
206144055,Brand_3,2019W22,Stainless Steel,259,184,13,13,13,0,4.65,1181,93,1181,10,10
206144055,Brand_3,2019W23,Stainless Steel,269,184,13,13,13,0,4.65,1192,93,1192,11,11
206144055,Brand_3,2019W24,Stainless Steel,271,184,13,13,13,0,4.65,1200,93,1200,8,8
206144055,Brand_3,2019W25,Stainless Steel,280,184,17,13,13.857,1.574,4.65,1214,93,1214,1214,14
206069195,Brand_3,2019W19,Stainless Steel,781,199,32,27,29.857,2.673,4.58,1066,93,1066,1066,7
206069195,Brand_3,2019W20,Stainless Steel,768,199,27,27,27,0,4.58,1073,93,1073,7,7
206069195,Brand_3,2019W21,Stainless Steel,752,199,27,27,27,0,4.58,1074,93,1074,1,1
206069195,Brand_3,2019W22,Stainless Steel,748,199,27,22,25.571,2.44,4.58,1078,93,1078,4,4
206069195,Brand_3,2019W23,Stainless Steel,677,199,27,22,26.286,1.89,4.58,1081,93,1081,3,3
206069195,Brand_3,2019W24,Stainless Steel,656,199,27,27,27,0,4.58,1086,93,1086,5,5
206069195,Brand_3,2019W25,Stainless Steel,792,199,31,27,27.857,1.574,4.58,1094,93,1094,1094,8
100684606,Brand_1,2019W19,Stainless Steel,2149,129,19,19,19,0,4.12,1246,77,1246,1246,7
100684606,Brand_1,2019W20,Stainless Steel,2032,129,19,16,16.714,1.254,4.12,1253,77,1253,7,7
100684606,Brand_1,2019W21,Stainless Steel,1745,129,16,16,16,0,4.12,1256,77,1256,3,3
100684606,Brand_1,2019W22,Stainless Steel,1605,132,19,16,17.714,1.604,4.12,1258,77,1258,2,2
100684606,Brand_1,2019W36,Stainless Steel,2541,139,17,12,15.857,2.035,4.13,1333,77,1333,75,75
100684606,Brand_1,2019W37,Stainless Steel,2503,139,16,12,12.571,1.512,4.13,1337,77,1337,4,4
100684606,Brand_1,2019W38,Stainless Steel,2550,139,21,16,17,1.915,4.13,1345,77,1345,8,8
100684606,Brand_1,2019W39,Stainless Steel,2654,139,21,9,13.429,4.65,4.13,1353,77,1353,8,8
100684606,Brand_1,2019W49,Stainless Steel,1733,139,40,27,33.857,4.375,4.13,1401,77,1401,48,48
100684606,Brand_1,2019W50,Stainless Steel,1902,139,47,24,29.714,7.994,4.14,1411,77,1411,10,10
100684606,Brand_1,2019W51,Stainless Steel,1877,139,30,27,29.143,1.215,4.14,1422,77,1422,11,11
100684606,Brand_1,2019W52,Stainless Steel,1685,139,22,16,19.857,2.268,4.14,1427,77,1427,5,5
100684606,Brand_1,2020W01,Stainless Steel,1838,139,19,11,15,5.657,4.14,1427,77,1427,1427,0
202497879,Brand_3,2019W19,Stainless Steel,842,184,44,39,41.143,2.673,4.61,1011,92,1011,1011,4
202497879,Brand_3,2019W20,Stainless Steel,718,194.12,44,36,40.571,3.645,4.61,1015,92,1015,4,4
202497879,Brand_3,2019W21,Stainless Steel,647,184,47,42,44.429,1.618,4.62,1021,92,1021,6,6
202497879,Brand_3,2019W22,Stainless Steel,682,194.12,47,42,45.571,2.44,4.62,1025,92,1025,4,4
202497879,Brand_3,2019W23,Stainless Steel,614,196.33,47,42,45.429,2.07,4.62,1033,92,1033,8,8
202497879,Brand_3,2019W24,Stainless Steel,637,202.4,47,47,47,0,4.62,1037,92,1037,4,4
202497879,Brand_3,2019W25,Stainless Steel,710,202.4,51,45,47.571,1.902,4.62,1041,92,1041,1041,4
203478898,Brand_3,2019W19,Stainless Steel,3,424.55,171,163,166.714,2.752,4.44,626,87,626,626,0
203478898,Brand_3,2019W20,Stainless Steel,5,406.35,173,166,170.571,2.225,4.44,626,87,626,0,0
203478898,Brand_3,2019W21,Stainless Steel,3,418.54,160,156,158.143,2.035,4.43,627,87,627,1,1
203478898,Brand_3,2019W22,Stainless Steel,9,418.54,170,157,163.286,5.345,4.43,628,87,628,1,1
203478898,Brand_3,2019W23,Stainless Steel,2,418.54,172,167,170,2.28,4.43,629,87,629,1,1
203478898,Brand_3,2019W24,Stainless Steel,0,418.54,171,164,168.143,2.673,4.43,630,87,630,1,1
203478898,Brand_3,2019W25,Stainless Steel,7,431.1,172,158,165.571,4.315,4.43,630,87,630,630,0
204371385,Brand_3,2019W19,Stainless Steel,374,204,74,66,70.714,2.928,4.53,473,91,473,473,4
204371385,Brand_3,2019W20,Stainless Steel,373,204,79,66,73.286,4.309,4.53,477,91,477,4,4
204371385,Brand_3,2019W21,Stainless Steel,357,204,79,71,75.429,3.047,4.53,478,91,478,1,1
204371385,Brand_3,2019W22,Stainless Steel,403,204,71,68,69.714,1.254,4.53,479,91,479,1,1
204371385,Brand_3,2019W23,Stainless Steel,352,204,71,66,70,1.826,4.53,480,91,480,1,1
